Date,Event,Event type,presenters,Participants/Female,Schools,Project,Content/comment
18-22/04/23,Exmouth Solar eclipse ,Public Events,"David, Ju Li, Anastasia, Melayne, Jingbo",,,EF/QG,"Exhibiiton (2 days)
Public Talks (Jingbo, David)"
24/06//23,National Launch @ Canberra,Public Events,"David, Jyoti, Anastaisa, Johanna, Melayne, John, Phill, Emmon, Ann",,,EF/QG,"Launch, workshops, Visiting schools (which school?)"
30-08-2023,Quantym physics,Public Events,Anastasia,32,,EF,Public event for parents of EF students
16-11-2023,Climate Change,Public Events,Anastasia,35,,EF,Public event for parents of EF students
***,Girls in Engineering,Public Events,Jyoti,,,Outreach,"2 sessions, ** hrs"
15-01-2023,Solar eclipse,Public Events,Anstasia,60,,Ef,STS 
17-08-2023,Einstein-First and Quantum Girls launch event at Eastern Goldfields College,Public Events,"David Blair, Jyoti ",7,,EF/QG,Luke Daniels presentation 
11-10-2023,Astro-Fest session,Public Events,Anastasia,40,,ef,Fantastic Photons
23-10-2023,Climate science seminar Curtin ,Public Events,DB,,,,
17-03-2024,UWA open day ,Public Events,JS ,200,,,
09-04-2024,CONSTAWA,Public Events,DW JS AP ,55,,,
25-06-2024,Women in STEM Event ,Public Events,EF team + Jinbo and Eric,160,,,"Women speaker, star school and  teacher awards, Math book "
20-05-2024,TEDX ,Public Events,Jingbo,,,QC (QG),"John, Phill, Eric had demos"
25-06-2024,"""Where is every one"" lecture",Public Events,David,,,EF,Demos in G18 afterwards
15-04-2024,How to make a gold,Public Events,Anastasia,40,,EF,Public event for parents of EF students
23-04-2024,Gold Einstenian metal,Public Events,Anastasia,25,,EF,Public event for parents of EF students
21-11-2024,Quantum West Event,Public Events,"Jingbo, Jyoti, Johanna, John, Phill, ",,,QG,Demos after the Launch Event
12-07-2023,Yr 6 Integrated Planning w/s ,Workshop ,DW and JS ,6,2,EFP,
28-09-2023,IMPRESS seminar ,Workshop ,Kyla ,,,,
2-5/10/23,Qld/Syd workshops ,Workshop ,"JK, JS, DW",,,,
12-10-2023,Solid pathways onine w/s QLD,Workshop ,JS DW DB JK,6,1,EFP,
19-10-2023,Solid pathways onine w/s QLD,Workshop ,JS DW DB JK,2,1,EFP,
,International Day @ Pawcey and UWA,Workshop ,,,,,
24/102023,Jo Hawkins Minister visit- QG ,Workshop ,"Anastasia, Kyla, Shon ",4,1,EFP,
,Workshop in Mandura?,Workshop ,John Tanner,,,,
,Quantum Camp organised by **,Workshop ,"Jyoti, Jingbo",,,,
09-04-2024,Quatum Day @ Pawcey,Workshop ,"Jyoti, shon, ***",,,,
02-05-2024,AISWA PD ,Workshop ,JS DW ,,,,
20-05-2024,AngloGold Ashanti Team building day,Workshop ,Sb AP KA JK JS ,,,,
21-24/05/24,SQA Tech camp ,Workshop ,JK,,,,
28-05-2024,GiE discovery day ,Workshop ,JK ,,,,
28-05-2024,Kalgoorlie network meeting online PD,Workshop ,DW JS ,,,,
02-11-2023,UWA Pre-service teacher w/s,Workshop ,,,,,
01-12-2023,STAWA Future Science ,Workshop ,,,,,
20-03-2024,Aglogold workshop,Workshop ,"Kyla, Anastasia, Johanna, Jyoti, Shon",,,,
,Kyla in Queensland,Workshop ,,,,,
, Anastasia Melbourne,Workshop ,,37,,EF,
Nov-23,Powers of the Universe,Workshop ,anastasia ,40,,EF,Powers of ten for school teachers
17-07-2024,Bunbury,Workshop ,"David W, Johanna",,,,
07/97/24,Powers of the Universe,Workshop ,anastasia ,45,,EF,Powers of ten for school teachers
25-06-2023,School in Caberra at the national lunch,School event/Visits,??,,,,
**,Pilbara,School event/Visits,Mario,,,,
16-18/08/23,Kalgoorlie launch ,School event/Visits,DB and SB ,,,,
14-15/09/23 ,Karalundi College,School event/Visits,,,,,
20-09-2023,Hot stuff w/s Willetton PS,School event/Visits,,,,,
12-10-2023,Aspire w/s Cecil Andrews College ,School event/Visits,DW,,,,
7-10/11/2023 ,Sydney w/s,School event/Visits,DW,,,,
10-11-2023,Karratha w/s,School event/Visits,,,,,
16-11-2023,Bunbury w/s,School event/Visits,DW,,,,
17-11-2023,Australind SHS,School event/Visits,DW,,,,
30-01-2023,Grandis PS ,School event/Visits,DW JS ,,,,
06-02-2023,Denmark PS ,School event/Visits,JS,,,,
08-02-2024,Willetton PS ,School event/Visits,DW JS ,,,,
08-02-2023,Coolbinia PS ,School event/Visits,DW JS ,,,,
21-22/02/24 ,Kalgoorlie ,School event/Visits,JS ,,,,
06-03-2024,Reoboth PL ,School event/Visits,JS DW,,,,
31-05-2024,Canning Vale College ,School event/Visits,DW,,,,
16-07-2024,Coolbinia visit to UWA ,School event/Visits,,,,,
 8-9/08/24,National Science Week visit- Kalgoorlie--Einstein in Town,School event/Visits,"David, Jyoti",,,,which Schools?+community event
09-08-2024,Collie/Bunbary school visit,School event/Visits,Johanna,,,,
10-08-2024,STAWA Girls STEMX event,School event/Visits,1 Who?,,,,
13-14/08/24,National Science Week visit- Collie,School event/Visits,David Jyoti,,4,,"St Brigids,Collie SHS PAC,Amaroo Ps"
14-15/08/24,National Science Week visit- Katanning,School event/Visits,2 who?,,,,
26-27/08/24,National Science Week visit- Hedland,School event/Visits,2,,,,
27-08-2024,Girls in Physics Breakfast and day at EFP,School event/Visits,2,,,,
27-09-2024,PD at DoE Padbury,School event/Visits,2,,,,
15-11-2024,STAVCON,School event/Visits,,,,,
12-02-2024,STEM Club 1,STEM Club/Hackathon,"Jyoti, John, Phill, Anastasia",,,,
06-06-2024,STEM Club 2,STEM Club/Hackathon,"Shon, ***",,,,
